gid,plraum,plraum_nr,uuid,geojson,townid
INTEGER,VARCHAR,INTEGER,VARCHAR,VARCHAR,INTEGER
3,Ortschaften,6,c6545d57-3d3f-4766-bdaf-a1bc64b9061a,"{""type"":""MultiPolygon"",""bbox"":[11.498756,50.856092,11.673166,50.989178],""coordinates"":[[[[11.5593,50.858834],[11.559205,50.859327],[11.556814,50.858969],[11.556887,50.858691],[11.552809,50.858328],[11.552602,50.858982],[11.550334,50.858693],[11.549809,50.859444],[11.54904,50.85924],[11.547485,50.859315],[11.546999,50.859464],[11.547215,50.859946],[11.547452,50.860101],[11.546993,50.860109],[11.546461,50.859985],[11.546296,50.860036],[11.546102,50.860529],[11.544485,50.860807],[11.544518,50.860957],[11.542238,50.861223],[11.542795,50.862228],[11.541902,50.862231],[11.541231,50.861989],[11.539784,50.862],[11.53969,50.861553],[11.537882,50.861875],[11.537087,50.861929],[11.537,50.86181],[11.535437,50.862158],[11.535617,50.862576],[11.532717,50.862716],[11.531688,50.862638],[11.530205,50.862783],[11.528425,50.862658],[11.52847,50.862336],[11.528287,50.862088],[11.528048,50.862088],[11.527067,50.862571],[11.526475,50.863346],[11.530787,50.865968],[11.530533,50.867182],[11.529968,50.868862],[11.529658,50.86885],[11.529583,50.869704],[11.531678,50.869903],[11.533716,50.870355],[11.534754,50.870454],[11.534776,50.870093],[11.537126,50.868773],[11.540023,50.86905],[11.544523,50.868547],[11.549454,50.868695],[11.552207,50.869854],[11.552299,50.870365],[11.552727,50.870194],[11.554314,50.870186],[11.555169,50.870879],[11.556175,50.870698],[11.557037,50.871251],[11.557273,50.871681],[11.558826,50.871439],[11.560372,50.871913],[11.56071,50.872698],[11.56053,50.873967],[11.561433,50.874622],[11.564047,50.874354],[11.570773,50.874004],[11.567877,50.876463],[11.572497,50.878962],[11.576293,50.880658],[11.578462,50.880512],[11.580316,50.881143],[11.582592,50.881259],[11.58471,50.883304],[11.58582,50.884951],[11.587277,50.886251],[11.587755,50.886508],[11.589101,50.886843],[11.588986,50.887486],[11.590289,50.88758],[11.590358,50.887199],[11.590513,50.887249],[11.590436,50.887774],[11.591722,50.887912],[11.59174,50.887808],[11.592575,50.888396],[11.593092,50.887639],[11.593417,50.885927],[11.599445,50.886344],[11.599457,50.886265],[11.600674,50.886344],[11.600663,50.886412],[11.602513,50.886537],[11.60244,50.885866],[11.602117,50.885159],[11.600656,50.883477],[11.599447,50.882718],[11.598898,50.881502],[11.598347,50.8811],[11.598202,50.880804],[11.597305,50.880851],[11.596691,50.881271],[11.596296,50.880953],[11.595498,50.879051],[11.594781,50.878072],[11.59472,50.877676],[11.594858,50.877021],[11.595003,50.876728],[11.598822,50.876205],[11.599601,50.878453],[11.600544,50.878413],[11.60144,50.878099],[11.601589,50.87763],[11.601358,50.877348],[11.601844,50.877266],[11.601898,50.876949],[11.602502,50.876841],[11.603302,50.876965],[11.604045,50.876425],[11.604993,50.876378],[11.605008,50.876164],[11.605155,50.876049],[11.60559,50.876026],[11.605795,50.875729],[11.60604,50.875715],[11.606407,50.875888],[11.606804,50.875869],[11.607046,50.875808],[11.607586,50.875371],[11.608014,50.875633],[11.608549,50.87556],[11.60879,50.875193],[11.608661,50.874949],[11.608036,50.874398],[11.608134,50.874006],[11.608616,50.873687],[11.609515,50.873304],[11.61011,50.873189],[11.610634,50.873195],[11.611153,50.872988],[11.611063,50.87219],[11.608404,50.872881],[11.607848,50.872922],[11.607818,50.872253],[11.608008,50.871805],[11.60715,50.870291],[11.607052,50.869694],[11.608138,50.868164],[11.609331,50.866845],[11.612226,50.864691],[11.612907,50.864065],[11.612113,50.863611],[11.609931,50.862869],[11.605163,50.861433],[11.602812,50.861024],[11.602019,50.860753],[11.597032,50.860107],[11.589367,50.859307],[11.588354,50.859172],[11.586882,50.858774],[11.585938,50.858637],[11.581913,50.858491],[11.576115,50.857874],[11.572986,50.8574],[11.569773,50.857172],[11.568129,50.856742],[11.56437,50.85614],[11.562583,50.856092],[11.560167,50.857195],[11.559791,50.857488],[11.5593,50.858834]]],[[[11.554013,50.900579],[11.553101,50.899564],[11.552797,50.898849],[11.552712,50.896565],[11.552282,50.896421],[11.551836,50.896126],[11.551464,50.896398],[11.550654,50.895844],[11.550172,50.89619],[11.550001,50.89586],[11.549749,50.895793],[11.548798,50.896242],[11.548026,50.896414],[11.547431,50.89628],[11.544954,50.895368],[11.542608,50.895993],[11.541526,50.895805],[11.540404,50.89597],[11.540749,50.896473],[11.540567,50.896535],[11.54203,50.897826],[11.54066,50.898225],[11.540999,50.898748],[11.541198,50.899531],[11.54108,50.900253],[11.541148,50.901313],[11.540578,50.901684],[11.53719,50.90164],[11.535231,50.901289],[11.530252,50.901846],[11.529464,50.902023],[11.526186,50.902341],[11.522933,50.903903],[11.523349,50.904504],[11.522543,50.904434],[11.522427,50.90488],[11.521146,50.905783],[11.51895,50.905191],[11.517241,50.904858],[11.513599,50.903797],[11.51147,50.905539],[11.511694,50.906269],[11.510561,50.906379],[11.510615,50.906564],[11.50856,50.906702],[11.507924,50.906704],[11.507696,50.906601],[11.506708,50.906938],[11.505393,50.906239],[11.504333,50.905819],[11.504098,50.906495],[11.504185,50.906948],[11.504092,50.907269],[11.504276,50.907497],[11.505382,50.908132],[11.505481,50.908525],[11.50528,50.908865],[11.507127,50.910712],[11.507056,50.911474],[11.507383,50.913114],[11.507301,50.913899],[11.507847,50.91409],[11.509498,50.915243],[11.509565,50.917114],[11.509354,50.917631],[11.508556,50.918542],[11.507402,50.91856],[11.505805,50.921139],[11.505109,50.921222],[11.50474,50.922664],[11.506806,50.922889],[11.506415,50.924665],[11.506528,50.92705],[11.506366,50.927647],[11.50591,50.928448],[11.504785,50.929818],[11.503764,50.932625],[11.50617,50.933205],[11.507566,50.933408],[11.507305,50.936255],[11.509024,50.936435],[11.509006,50.936605],[11.511817,50.936567],[11.516553,50.936747],[11.515778,50.939121],[11.519103,50.939046],[11.523398,50.94011],[11.525514,50.93991],[11.527987,50.939245],[11.531752,50.938537],[11.534979,50.938949],[11.535391,50.939706],[11.536645,50.93973],[11.536537,50.941221],[11.537061,50.942096],[11.537806,50.941995],[11.534003,50.942648],[11.533225,50.943509],[11.533646,50.945217],[11.533547,50.945375],[11.53279,50.945774],[11.532715,50.945898],[11.526761,50.945965],[11.525059,50.946299],[11.52133,50.945944],[11.520706,50.946601],[11.519995,50.947817],[11.515712,50.947485],[11.513484,50.946794],[11.513092,50.947424],[11.512051,50.947113],[11.511389,50.946681],[11.507237,50.94547],[11.501574,50.944687],[11.500791,50.946914],[11.499324,50.950058],[11.499717,50.950145],[11.498756,50.952498],[11.499438,50.952573],[11.499482,50.953432],[11.500782,50.953463],[11.500428,50.955455],[11.500346,50.957516],[11.500581,50.958204],[11.501374,50.959633],[11.501428,50.960163],[11.502684,50.96021],[11.502332,50.962039],[11.504883,50.96218],[11.504386,50.965014],[11.503129,50.965002],[11.503104,50.967021],[11.506386,50.967011],[11.508849,50.967399],[11.510697,50.967825],[11.51739,50.969671],[11.52318,50.970809],[11.522397,50.972257],[11.524367,50.972863],[11.523169,50.974507],[11.524038,50.974767],[11.523672,50.975222],[11.526366,50.975939],[11.525204,50.977843],[11.525843,50.97801],[11.525576,50.978406],[11.525929,50.9785],[11.5246,50.980341],[11.525962,50.980596],[11.525832,50.98081],[11.528324,50.981277],[11.527802,50.981923],[11.528638,50.982122],[11.528424,50.982382],[11.531402,50.983414],[11.531764,50.982878],[11.536269,50.984001],[11.5406,50.984938],[11.539994,50.985878],[11.544787,50.986772],[11.547144,50.987308],[11.546371,50.988932],[11.547423,50.989178],[11.549129,50.986247],[11.551923,50.983083],[11.551431,50.982935],[11.553258,50.980976],[11.554197,50.97976],[11.555134,50.97817],[11.554874,50.977976],[11.556748,50.975568],[11.557891,50.973177],[11.559089,50.971523],[11.559497,50.971671],[11.559712,50.971421],[11.560155,50.971535],[11.561934,50.969554],[11.563609,50.969956],[11.565332,50.96753],[11.566805,50.966049],[11.568134,50.966653],[11.569552,50.966932],[11.570815,50.967903],[11.572197,50.968122],[11.572967,50.968356],[11.573611,50.968756],[11.574009,50.968873],[11.581732,50.97086],[11.580625,50.973154],[11.582002,50.973054],[11.584716,50.97317],[11.585485,50.972437],[11.587507,50.97285],[11.588362,50.972935],[11.590938,50.974465],[11.592131,50.974771],[11.592987,50.975117],[11.594284,50.973009],[11.595119,50.971092],[11.595294,50.970663],[11.595103,50.969671],[11.595372,50.9689],[11.595659,50.968608],[11.594977,50.9682],[11.594928,50.967777],[11.594322,50.967507],[11.594153,50.966821],[11.593621,50.966218],[11.593659,50.96608],[11.593938,50.965954],[11.593875,50.965312],[11.593516,50.965033],[11.593424,50.964824],[11.593954,50.964176],[11.593946,50.963689],[11.594289,50.963308],[11.594368,50.963005],[11.594156,50.962697],[11.593818,50.962487],[11.593476,50.962437],[11.593278,50.962226],[11.592804,50.96202],[11.592487,50.96198],[11.592529,50.961801],[11.59224,50.961603],[11.59218,50.960737],[11.592063,50.96059],[11.592371,50.9605],[11.592365,50.959429],[11.592905,50.959062],[11.59278,50.958962],[11.592938,50.958603],[11.590789,50.958705],[11.589034,50.958494],[11.587108,50.957692],[11.586763,50.95763],[11.58607,50.957255],[11.584836,50.956858],[11.585154,50.9554],[11.584836,50.954777],[11.585202,50.954454],[11.585556,50.954507],[11.587031,50.952393],[11.588848,50.950704],[11.587079,50.950278],[11.585995,50.949776],[11.581613,50.948983],[11.575264,50.947083],[11.573884,50.947117],[11.573453,50.946764],[11.573521,50.94651],[11.572999,50.946274],[11.573272,50.946185],[11.572986,50.945929],[11.572524,50.945593],[11.572265,50.945589],[11.571911,50.945312],[11.572056,50.945221],[11.571834,50.945067],[11.571596,50.945241],[11.571449,50.945105],[11.571592,50.944757],[11.570997,50.944603],[11.571066,50.944447],[11.571516,50.944174],[11.57015,50.943625],[11.570258,50.943403],[11.566436,50.943016],[11.565509,50.943114],[11.565394,50.942998],[11.563624,50.942538],[11.562475,50.942033],[11.561466,50.942084],[11.559714,50.941911],[11.559486,50.9427],[11.558005,50.942387],[11.557369,50.941876],[11.556578,50.941572],[11.555207,50.941622],[11.551916,50.941443],[11.551678,50.941624],[11.551167,50.94169],[11.549815,50.94138],[11.549357,50.941156],[11.548141,50.941022],[11.546273,50.940626],[11.545662,50.940313],[11.545044,50.940579],[11.544904,50.940404],[11.545319,50.939672],[11.544659,50.939501],[11.545318,50.93915],[11.545346,50.938661],[11.544075,50.93849],[11.541351,50.937784],[11.539995,50.937174],[11.538451,50.936075],[11.537282,50.935089],[11.534659,50.932663],[11.535731,50.931424],[11.53687,50.931489],[11.536705,50.930489],[11.536247,50.929769],[11.533133,50.927451],[11.535336,50.925699],[11.532717,50.925653],[11.532168,50.92507],[11.531238,50.924829],[11.531073,50.924925],[11.529363,50.923946],[11.527765,50.922726],[11.526716,50.921004],[11.524923,50.9197],[11.524931,50.919171],[11.525242,50.918983],[11.525124,50.918515],[11.525622,50.918366],[11.525357,50.91806],[11.525397,50.917962],[11.52578,50.917824],[11.526164,50.917491],[11.52677,50.917464],[11.526985,50.917266],[11.527778,50.917327],[11.528598,50.917071],[11.529547,50.916493],[11.529375,50.915832],[11.528581,50.914976],[11.528631,50.914603],[11.52834,50.914468],[11.528546,50.913971],[11.527893,50.913332],[11.527289,50.91302],[11.527263,50.912778],[11.526924,50.912438],[11.526276,50.912046],[11.525263,50.911087],[11.524727,50.910095],[11.52471,50.909722],[11.526668,50.909192],[11.528186,50.90914],[11.528868,50.908662],[11.530769,50.909893],[11.532192,50.910479],[11.536595,50.911412],[11.538296,50.911976],[11.539526,50.912041],[11.542292,50.912972],[11.549484,50.91145],[11.556112,50.910784],[11.557463,50.91089],[11.560743,50.911368],[11.56291,50.911518],[11.564749,50.912197],[11.56533,50.912274],[11.565757,50.912226],[11.566935,50.912521],[11.566636,50.912208],[11.565377,50.911506],[11.564079,50.909826],[11.562613,50.90921],[11.563746,50.907839],[11.563981,50.907932],[11.564818,50.906646],[11.563154,50.906306],[11.564127,50.904987],[11.563114,50.904886],[11.563125,50.903904],[11.563138,50.903743],[11.563784,50.90367],[11.56375,50.902355],[11.564245,50.902265],[11.564213,50.901758],[11.56298,50.901862],[11.561666,50.901597],[11.559324,50.9015],[11.558811,50.901636],[11.557151,50.901813],[11.556607,50.901962],[11.554532,50.90168],[11.554127,50.901214],[11.554528,50.900991],[11.554013,50.900579]]],[[[11.660947,50.888314],[11.66133,50.887141],[11.661946,50.886226],[11.661733,50.885484],[11.662315,50.884358],[11.662512,50.883058],[11.663064,50.882593],[11.663327,50.882213],[11.66352,50.881477],[11.663681,50.881469],[11.663763,50.881279],[11.662274,50.880715],[11.661725,50.880704],[11.661143,50.880548],[11.66064,50.880668],[11.66045,50.880518],[11.659661,50.88039],[11.659307,50.880217],[11.658581,50.880241],[11.658438,50.879992],[11.657821,50.879792],[11.657357,50.879801],[11.656895,50.879387],[11.65572,50.879029],[11.654865,50.880265],[11.654104,50.880264],[11.653688,50.880161],[11.653127,50.879682],[11.652585,50.879491],[11.652135,50.878867],[11.651652,50.879625],[11.650152,50.879462],[11.64994,50.879518],[11.650284,50.880129],[11.651713,50.881086],[11.651515,50.881145],[11.651375,50.881334],[11.650971,50.881176],[11.65018,50.881772],[11.649272,50.881195],[11.648647,50.880947],[11.647864,50.881358],[11.646936,50.882013],[11.647213,50.88239],[11.64741,50.882998],[11.646523,50.882857],[11.645551,50.882056],[11.645271,50.880804],[11.644921,50.880828],[11.644828,50.88047],[11.643803,50.879522],[11.643535,50.880353],[11.643346,50.880346],[11.643259,50.880687],[11.64257,50.8812],[11.641996,50.881086],[11.641681,50.880908],[11.641336,50.881396],[11.641673,50.881697],[11.640593,50.88202],[11.640474,50.881888],[11.636818,50.882422],[11.636597,50.882374],[11.634372,50.882768],[11.634302,50.882584],[11.633613,50.882562],[11.633575,50.882229],[11.630751,50.882737],[11.6303,50.883008],[11.629965,50.882956],[11.629391,50.884561],[11.629381,50.884903],[11.629032,50.884973],[11.629105,50.88538],[11.628674,50.885855],[11.628352,50.885833],[11.62614,50.884528],[11.625456,50.884996],[11.624222,50.884857],[11.622643,50.884831],[11.622299,50.885523],[11.622801,50.886942],[11.622752,50.888034],[11.623067,50.888605],[11.6235,50.888933],[11.623943,50.890466],[11.62318,50.890936],[11.621498,50.890915],[11.619855,50.890264],[11.619468,50.890223],[11.619134,50.89027],[11.618691,50.890761],[11.622812,50.893335],[11.625536,50.895955],[11.627506,50.897482],[11.62561,50.899906],[11.628173,50.899981],[11.634313,50.902697],[11.63425,50.906291],[11.632957,50.906312],[11.632339,50.906111],[11.629783,50.905773],[11.625619,50.905598],[11.623932,50.90669],[11.624052,50.906055],[11.620126,50.906003],[11.618908,50.906065],[11.618197,50.90645],[11.616862,50.906325],[11.615632,50.906015],[11.611666,50.906057],[11.608812,50.905319],[11.607871,50.905184],[11.606526,50.905135],[11.604355,50.904567],[11.603416,50.903978],[11.60294,50.903528],[11.60268,50.902767],[11.600947,50.902994],[11.600509,50.902852],[11.599519,50.903021],[11.59886,50.902741],[11.597997,50.902982],[11.596851,50.9031],[11.596388,50.903024],[11.595559,50.903444],[11.595123,50.903182],[11.593842,50.903985],[11.592755,50.904363],[11.591745,50.904476],[11.58989,50.904389],[11.589129,50.904551],[11.588537,50.904934],[11.587892,50.905631],[11.587507,50.906943],[11.587266,50.907235],[11.586622,50.907487],[11.586006,50.907596],[11.585063,50.907662],[11.583498,50.907586],[11.58318,50.907646],[11.582834,50.908013],[11.582313,50.909216],[11.581921,50.90952],[11.581211,50.909922],[11.579863,50.91039],[11.576987,50.911056],[11.576385,50.911665],[11.576161,50.912344],[11.581917,50.913394],[11.584177,50.914116],[11.585009,50.914262],[11.585026,50.914125],[11.585493,50.914227],[11.586023,50.91409],[11.585239,50.913203],[11.585297,50.912624],[11.587367,50.913635],[11.588036,50.913228],[11.588415,50.913513],[11.589015,50.913739],[11.589538,50.913103],[11.590901,50.914157],[11.591245,50.914035],[11.592625,50.915299],[11.591992,50.914507],[11.592731,50.914329],[11.593276,50.915117],[11.59401,50.914839],[11.594893,50.915058],[11.595768,50.913346],[11.602275,50.912197],[11.606884,50.913694],[11.61102,50.912229],[11.613906,50.910833],[11.614404,50.911477],[11.614884,50.911847],[11.615722,50.912252],[11.616101,50.912323],[11.616518,50.912714],[11.616674,50.91272],[11.616803,50.912544],[11.616911,50.912615],[11.617096,50.912849],[11.617106,50.91309],[11.617563,50.913307],[11.617453,50.91445],[11.618222,50.914734],[11.617793,50.914875],[11.618198,50.915175],[11.61859,50.915197],[11.618638,50.915364],[11.618831,50.915333],[11.619059,50.915566],[11.619423,50.915631],[11.619515,50.915765],[11.619581,50.916192],[11.618388,50.916332],[11.618773,50.917486],[11.618895,50.919038],[11.618123,50.91919],[11.618192,50.920036],[11.6184,50.920393],[11.617968,50.920467],[11.61862,50.922093],[11.618184,50.922144],[11.618365,50.922702],[11.618659,50.923013],[11.618939,50.923597],[11.618091,50.923917],[11.617519,50.923997],[11.617557,50.924242],[11.619473,50.923799],[11.621467,50.923689],[11.621399,50.923845],[11.62599,50.9237],[11.628233,50.924111],[11.629329,50.924016],[11.629573,50.923794],[11.63189,50.923857],[11.632726,50.924022],[11.6335,50.924045],[11.634068,50.926282],[11.633826,50.928618],[11.634136,50.928893],[11.633641,50.930847],[11.633761,50.931401],[11.634018,50.931523],[11.634023,50.93244],[11.633612,50.932486],[11.63392,50.932866],[11.632992,50.932955],[11.633106,50.933326],[11.632256,50.933499],[11.632359,50.933769],[11.633216,50.933817],[11.633577,50.935378],[11.634054,50.936116],[11.634313,50.936298],[11.634408,50.93733],[11.634,50.937277],[11.634263,50.938851],[11.633341,50.938886],[11.632829,50.93905],[11.630247,50.939518],[11.628782,50.939392],[11.62761,50.939158],[11.62624,50.939118],[11.624527,50.938927],[11.624312,50.939945],[11.624932,50.940554],[11.625068,50.941553],[11.623608,50.942506],[11.622882,50.942243],[11.621959,50.943259],[11.621253,50.943791],[11.620283,50.944939],[11.619909,50.944783],[11.618465,50.945566],[11.618098,50.945312],[11.616943,50.946027],[11.617675,50.946045],[11.617253,50.946189],[11.618379,50.946415],[11.619457,50.946905],[11.621587,50.948531],[11.622456,50.948639],[11.623712,50.948561],[11.625364,50.948595],[11.626197,50.949333],[11.627121,50.951004],[11.62802,50.951767],[11.628142,50.952127],[11.627938,50.95213],[11.628036,50.953471],[11.628602,50.954354],[11.631057,50.955141],[11.633913,50.956334],[11.634153,50.957355],[11.633186,50.959406],[11.633139,50.960072],[11.633397,50.960856],[11.633833,50.961275],[11.634902,50.961983],[11.635053,50.962335],[11.634743,50.962853],[11.633213,50.963917],[11.633103,50.9641],[11.633125,50.964833],[11.633569,50.966087],[11.633798,50.966041],[11.634237,50.96655],[11.635275,50.96719],[11.636051,50.967912],[11.636559,50.968045],[11.637245,50.968053],[11.637744,50.967742],[11.638859,50.966765],[11.641189,50.965864],[11.642036,50.965358],[11.643007,50.964574],[11.643534,50.964647],[11.644539,50.965095],[11.645709,50.96584],[11.646129,50.966461],[11.646274,50.968164],[11.647084,50.96939],[11.648043,50.969023],[11.647973,50.968968],[11.648886,50.968284],[11.64934,50.968453],[11.64983,50.967942],[11.649521,50.967604],[11.651386,50.965639],[11.652639,50.964059],[11.6518,50.963748],[11.652142,50.963301],[11.651208,50.963136],[11.650472,50.96285],[11.650436,50.962378],[11.649096,50.962033],[11.648958,50.962255],[11.648188,50.961937],[11.646842,50.961593],[11.647113,50.961405],[11.646776,50.960747],[11.647471,50.960865],[11.647698,50.961069],[11.64791,50.961062],[11.648192,50.960869],[11.648514,50.960796],[11.649074,50.96096],[11.649231,50.961041],[11.649121,50.961191],[11.649755,50.961772],[11.652187,50.962394],[11.654265,50.962217],[11.65488,50.961917],[11.655694,50.961178],[11.657828,50.961326],[11.658304,50.961009],[11.658908,50.96094],[11.6608,50.960378],[11.661032,50.960269],[11.661275,50.959847],[11.662188,50.959208],[11.662305,50.958711],[11.663171,50.957704],[11.664055,50.957738],[11.665328,50.958097],[11.666456,50.957294],[11.667225,50.956997],[11.66715,50.956867],[11.667433,50.956759],[11.66751,50.95605],[11.666491,50.955245],[11.666718,50.955091],[11.668079,50.955117],[11.667082,50.953702],[11.669804,50.953734],[11.670096,50.953629],[11.669732,50.953339],[11.67038,50.952651],[11.671576,50.951694],[11.672664,50.951272],[11.672601,50.950803],[11.673166,50.950731],[11.673069,50.950077],[11.672814,50.949626],[11.67076,50.947989],[11.669545,50.946489],[11.668848,50.944913],[11.668938,50.943773],[11.66876,50.942888],[11.668093,50.941472],[11.665984,50.940074],[11.66525,50.93857],[11.665486,50.938347],[11.667548,50.938072],[11.667302,50.93756],[11.667242,50.934493],[11.667787,50.932484],[11.668361,50.929183],[11.670243,50.924298],[11.670143,50.924262],[11.67051,50.922108],[11.670695,50.922105],[11.67038,50.920681],[11.669284,50.920494],[11.668214,50.920527],[11.66648,50.92008],[11.66548,50.919684],[11.663682,50.919204],[11.662343,50.918419],[11.662888,50.917727],[11.663824,50.917751],[11.664914,50.91796],[11.665254,50.91724],[11.665747,50.917213],[11.667827,50.917435],[11.667523,50.916149],[11.665707,50.915718],[11.664948,50.915277],[11.663757,50.914807],[11.663155,50.914429],[11.664157,50.914137],[11.664431,50.913769],[11.664975,50.913419],[11.665551,50.912793],[11.667031,50.911722],[11.666883,50.911823],[11.66531,50.911898],[11.663251,50.911736],[11.662396,50.911584],[11.660433,50.911561],[11.659026,50.911276],[11.657805,50.911328],[11.657309,50.910696],[11.656548,50.910018],[11.657227,50.909344],[11.657463,50.90887],[11.657477,50.907378],[11.655203,50.906144],[11.653094,50.90415],[11.651768,50.903116],[11.651581,50.90251],[11.651258,50.902271],[11.650376,50.90183],[11.649154,50.901475],[11.646574,50.901238],[11.645769,50.899318],[11.645673,50.898051],[11.646865,50.896451],[11.64756,50.894529],[11.648483,50.892732],[11.649035,50.891281],[11.653759,50.891795],[11.655944,50.891823],[11.658332,50.891661],[11.658962,50.891735],[11.660136,50.891561],[11.660617,50.889031],[11.660947,50.888314]]]]}",1
5,West/Zentrum,5,1fe2d169-1c1b-4982-90fa-fa09bc298f12,"{""type"":""MultiPolygon"",""bbox"":[11.524710,50.908662,11.596191,50.947117],""coordinates"":[[[[11.567489,50.912669],[11.56596,50.912259],[11.564749,50.912197],[11.56291,50.911518],[11.560743,50.911368],[11.557463,50.91089],[11.556112,50.910784],[11.549484,50.91145],[11.542292,50.912972],[11.539526,50.912041],[11.538296,50.911976],[11.536595,50.911412],[11.532192,50.910479],[11.530769,50.909893],[11.528868,50.908662],[11.528186,50.90914],[11.526668,50.909192],[11.52471,50.909722],[11.524727,50.910095],[11.525263,50.911087],[11.526276,50.912046],[11.526924,50.912438],[11.527263,50.912778],[11.527289,50.91302],[11.527893,50.913332],[11.528546,50.913971],[11.52834,50.914468],[11.528631,50.914603],[11.528581,50.914976],[11.529375,50.915832],[11.529547,50.916493],[11.528598,50.917071],[11.527778,50.917327],[11.526985,50.917266],[11.52677,50.917464],[11.526164,50.917491],[11.52578,50.917824],[11.525397,50.917962],[11.525357,50.91806],[11.525622,50.918366],[11.525124,50.918515],[11.525242,50.918983],[11.524931,50.919171],[11.525008,50.919524],[11.524907,50.91967],[11.525231,50.92],[11.526716,50.921004],[11.527765,50.922726],[11.529363,50.923946],[11.531073,50.924925],[11.531238,50.924829],[11.532168,50.92507],[11.532717,50.925653],[11.535336,50.925699],[11.533133,50.927451],[11.536247,50.929769],[11.536705,50.930489],[11.53687,50.931489],[11.535731,50.931424],[11.534659,50.932663],[11.537282,50.935089],[11.538451,50.936075],[11.539995,50.937174],[11.541351,50.937784],[11.544075,50.93849],[11.545346,50.938661],[11.545318,50.93915],[11.544659,50.939501],[11.545319,50.939672],[11.544904,50.940404],[11.545044,50.940579],[11.545662,50.940313],[11.546273,50.940626],[11.548141,50.941022],[11.549357,50.941156],[11.549815,50.94138],[11.551167,50.94169],[11.551678,50.941624],[11.551916,50.941443],[11.555207,50.941622],[11.556578,50.941572],[11.557369,50.941876],[11.558005,50.942387],[11.559486,50.9427],[11.559714,50.941911],[11.561466,50.942084],[11.562475,50.942033],[11.563624,50.942538],[11.565394,50.942998],[11.565509,50.943114],[11.566436,50.943016],[11.570258,50.943403],[11.57015,50.943625],[11.571516,50.944174],[11.571066,50.944447],[11.570997,50.944603],[11.571592,50.944757],[11.571449,50.945105],[11.571596,50.945241],[11.571834,50.945067],[11.572056,50.945221],[11.571911,50.945312],[11.572265,50.945589],[11.572524,50.945593],[11.572986,50.945929],[11.573272,50.946185],[11.572999,50.946274],[11.573521,50.94651],[11.573453,50.946764],[11.573884,50.947117],[11.575264,50.947083],[11.581013,50.94411],[11.580987,50.942597],[11.580535,50.942616],[11.580414,50.941774],[11.57981,50.942009],[11.579438,50.941676],[11.58056,50.941287],[11.578907,50.941525],[11.578725,50.941327],[11.578893,50.94118],[11.578262,50.941021],[11.578656,50.940455],[11.578581,50.940391],[11.579089,50.940119],[11.580848,50.939883],[11.580421,50.939526],[11.580017,50.93943],[11.579468,50.939134],[11.579563,50.93907],[11.579983,50.939336],[11.581367,50.939381],[11.581816,50.938892],[11.582835,50.938339],[11.582596,50.938038],[11.582771,50.937719],[11.581815,50.937663],[11.582251,50.937065],[11.582125,50.936811],[11.581648,50.93688],[11.581832,50.936642],[11.583793,50.936248],[11.584314,50.937211],[11.584812,50.936963],[11.584492,50.934011],[11.584605,50.934002],[11.584599,50.933778],[11.586442,50.933894],[11.590064,50.933794],[11.590196,50.93391],[11.59047,50.933475],[11.590678,50.933439],[11.591225,50.934153],[11.591789,50.934599],[11.592605,50.934983],[11.594646,50.93535],[11.594607,50.935175],[11.594808,50.935088],[11.594407,50.934709],[11.59492,50.932975],[11.595599,50.932479],[11.596191,50.931316],[11.596133,50.928963],[11.595883,50.928595],[11.595537,50.927374],[11.595015,50.926858],[11.59423,50.926412],[11.592731,50.92585],[11.59173,50.925357],[11.588533,50.92452],[11.586355,50.92365],[11.585519,50.923189],[11.585221,50.922641],[11.585709,50.92148],[11.585683,50.92095],[11.585439,50.920511],[11.584235,50.919684],[11.582512,50.918808],[11.581216,50.918401],[11.580822,50.918409],[11.580507,50.918022],[11.579899,50.91819],[11.578996,50.916549],[11.578781,50.916601],[11.578442,50.916158],[11.578271,50.916165],[11.577039,50.915579],[11.575923,50.914944],[11.575075,50.913966],[11.574936,50.913424],[11.574185,50.913403],[11.574016,50.913567],[11.573507,50.913727],[11.572648,50.913723],[11.572562,50.913827],[11.571925,50.913592],[11.572183,50.91336],[11.570717,50.913124],[11.568849,50.912624],[11.568315,50.912919],[11.568085,50.912919],[11.567489,50.912669]]]]}",1
